aberration	аберрация, отклонение
alphanumerics	буквенно-цифровые обозначения
alter	изменять; переделывать
alternate	колебаться; изменяться между двумя точками; чередоваться; переменный
alternating current (AC)	переменный ток (АС)
alternating current neutral (ACN)	нейтраль переменного тока
ambient	окружающий, внешний
amplifier	усилитель
analog digital display	аналого-цифровой дисплей
analog digital microprocessor (ADM)	аналого-цифровой микропроцессор
analyse	анализировать, исследовать
analysis	анализ
angle switch	переключатель угла
anti-reflective coating	неотражающее, поглощающее, рассеивающее, матовое покрытие
antiskew gate	затвор устранения перекоса
antistatic	антистатический; антистатик
antistatic line	линия отвода статики (электростатического заряда)
anvil	наковальня
aperture	отверстие, апертура, щель
apply	наложить, нанести (вещество); приложить (усилие)
arc	дуга
arc shield	экран против искрения
arcing	искрение, дугообразование
area	площадь; участок, зона
arm	плечо, рычаг
arrangement	расположение, размещение; компоновка, монтаж; устройство, приспособление, система; наладка
array	матрица
arrive	прибывать; наступать
arrow	стрелка
assembly	узел, устройство; сборка, монтаж
assign	присваивать, назначать
at random	произвольно
attachment	прикрепление, соединение; приставка, надставка
audible noise	воспринимаемый на слух шум
auditron	аудитрон
auger	шнек
Auto Clear	автоматический сброс (отмена)
autolatch	автоматический фиксатор
automatic density control (ADC)	автоматическое регулирование плотности (изображения); автоматический контроль подачи тонера; автоматическое регулирование плотности (изображения)
autometer	автоматический счетчик копий
autotransformer	автотрансформатор
auxiliary	дополнительный
available	наличный, доступный
average	средний (о значении); обычный, нормальный
average registration	средняя регистрация, нормальная регистрация



[ B ]

background	фон
background area	фоновая область (копии)
background suppression	подавление фона
backlash	зазор по окружности (между шестернями); мертвый ход; люфт, холостой ход
backward	обратный (о движении); назад; в обратном направлении; наоборот
baffle	козырек, направляющая, щиток
bag	мешок
ball carriage	шариковый транспортер; шариковая каретка
ballast	балласт, балластное сопротивление
band	полоса (на копии); лента
bar	стержень, балка, планка, пруток
base	база, основание
base of the copier	основание машины
base plate	опорная плита, пластина
battery (BAT)	батарейка (аккумулятор)
battery charging	зарядка аккумулятора
Baud	бод (единица скорости передачи информации, число бит данных/сек)
Baud rate	скорость передачи информации в бодах
bearing	подшипник; опора; несущая поверхность
beeper	зуммер
belt	ремень
belt cleaner	очистительная жидкость для ремней
belt hole	отверстие в ремне (фоторецепторном)
bevel	скос, уклон, конус, фаска
bevelled edge	кромка со скосом, скошенный край
bias	смещение, напряжение смещения
billing	общий счет копий
billing meter	счетчик общего числа копий
bin	ячейка, карман
bin plate	пластина ячейки (сортировочного устойства)
binary	двоичный
bind	застревать, заедать, задевать
binder	переплет, обложка
binding	застревание, заедание; сшивание, переплет
binding bearing	заклинивший подшипник
binding edge	кромка (комплекта копий) для переплета
bins home switch	выключатель исходного положения ячеек (сортера)
bins indexing clutch	муфта индексирования ячеек
bit	бит, двоичный разряд, единица информации
black (BLK)	черный
black border	черные поля (на копии)
black copy	черная копия
black spots	черные пятна (на копии)
blank	чистый лист, пустой лист; пробел, пропуск
blank copy	пустая копия
blank sheet	пустой лист
blink	мигать; мерцать
blocked hole	забитое отверстие
blocked sensor	забитый (загрязненный) датчик
block-schematic diagram (BSD)	блок-схема
blow	перегореть (о предохранителе, лампе)
blower	вентилятор, воздуходувка
blue (BLU)	голубой
blur	нерезкость, размытость (копии)
blurred image	размытое, размазанное изображение
board	панель, щиток; печатная плата
body	корпус
bolt	болт, шпилька
border	край (бумаги), поле (у края)
border band	полоса по краю
bottom	низ, основание
bottom edge deletion	пропуск по нижнему краю (дефект качества копии)
bottom edge erase	стирание, засвечивание, подавление нижнего края (копии)
bottom edge erase zone	зона засветки нижнего края
bounce	дрожание, подергивание; дрожать, подергиваться
box	коробка, рамка, квадрат
boxed symbol	обозначение в рамке
brace	распорка, стойка, подпорка, скоба, скрепление; связывать, скреплять
bracket	кронштейн, держатель, узел крепления
brake	тормоз
break (broke, broken)	ломать(ся), приходить в неисправность
breakage	поломка
breaker	прерыватель
break-in	прирабатываться; приработка
bridge rectifier	мостовой выпрямитель
bridging of toner	мостик из тонера
brilliance	свечение, яркость
broken-up image	разорванное изображение
brown (BRN)	коричневый
brush	кисть, щетка
brush guard	ограждение, защита кисти (щетки)
brush roll shaft	роликовый вал (магнитной) кисти
bubble	пузырек
buckle	коробление, шлейф
buckled copy	покоробленная, изогнутая копия
buffer	буфер; буферная схема; каскад; регистр
build-up	собирание, накопление
built-in	встроенный (внутренний)
bulb	лампа накаливания
bulletin	бюллетень, технический бюллетень
bum out	подгорать, прогорать
bumper	демпфер
burr	заусенец
button	кнопка
buzzer	зуммер
bypass	обход; шунтирование; обходной лоток
bypass the interlock	обойти блокировку
byte	байт

[ C ]

cable	кабель; трос, тросик
cable routing	проводка, прокладка тросика; прохождение тросика
calibrate	калибровать, градуировать
calibration	калибровка
calibration value	калибровочное значение; эталонное значение
cam	кулачок
cancel	отменять; сбрасывать (на "нуль")
cap	колпачок
capabilities	характеристики
capacitor (С)	конденсатор
capacity	емкость (электрическая); вместимость, емкость (физическая)
capstan	ведущий ролик
carbon copy	копия, полученная под копирку
carbon fibre	углеволокно
carbon paper	копировальная бумага, копирка
carre out	проводить, осуществлять, выполнять
carriage	каретка
carrier	носитель, несущий элемент (конструкции)
cartridge	картридж, патрон, втулка, контейнер
caster (castor)	поворотный ролик, колесико
casting	отливка, литая деталь
catch	захват, зажим, замок; улавливать, ловить; улавливающий
catcher	улавливатель
cause	причина; влиять, вызывать
cause damage (to)	причинять убытки, наносить ущерб, портить
caution	предупреждение, предостережение
cavity	полость
cellotape	клейкая лента, лента "скотч"
center	центр; центрировать
centerline	ось, центральная линия
certified	обученный, сертифицированный
chain	цепь (механическая или функциональная)
chain tensioner	звездочка натяжения цепи
chamfer	фаска, скос
change	изменение; замена, смена
change from...	изменить с ...
change interval	интервал замены (детали, материала при обслуживании)
change to...	изменить на ...
channel	канал, паз, желоб
character	знак, буква
charge corotron	зарядный коротрон, коротрон зарядки
charge voltage ( Vo )	напряжение заряда
charging the photoreceptor	зарядка фоторецептора
chart	схема, диаграмма; карта, лист
chassis	шасси, рама; монтажная панель
chatter	издавать посторонний шум, щелкать (о реле), потрескивать
cheat	имитировать блокировку, деблокировать
cheater	имитатор (блокировки)
check	проверка; проверить
check procedure	процедура проверки
check sum	контрольная сумма
checkout	проверка, выверка
choke	дроссель
chroma (С)	цветность (colour copiers)
chute	желоб, лоток
circuit	схема, цепь, контур, сеть
circuit breaker	прерыватель, автоматический выключатель
circuit diagram (CD)	диаграмма (график, чертеж) схемы
circuitry	электрическая схема
circulation	циркуляция
clamp	зажим, фиксатор; хомут
clamping	фиксация, зажатие
classify	классифицировать, относить к определенной категории
cleaner	устройство очистки; очистительный материал
cleaner blade	ракель (нож очистки)
cleaning	очистка, очищающий, очистительный, чистящий
cleaning brush	щетка очистки, очистительная щетка
clear	устранять, отменять; очищать; разблокировать; светлый, прозрачный, отчетливый
clear button	кнопка сброса (отмены)
clear jam	устранить застревание
clearance	зазор, промежуток; холостой ход; устранение, очистка
clearance procedure	процедура устранения (напр., кода состояния)
clearing	устранение, очистка
clinch	загибать (ножки скрепок)
clincher	клинчер, устройство загибания скрепок
clip	зажим, фиксатор; зажимать, крепить, фиксировать
clock	импульс, такт; синхронизировать
clock direction	направление по часовой стрелке
clock pulse	тактовый импульс, синхроимпульс
clock revolution	вращение (поворот) по часовой стрелке
clock sensor	датчик тактовых импульсов
clockwise direction	направление по часовой стрелке
close	закрывать; замыкать(ся)
closed	замкнутый
cloth	ткань, тряпка
clutch	муфта
clutch gear	зубчатая муфта
coat	слой, покрытие; наносить слой, наносить покрытие
coated surface	поверхность, имеющая покрытие
coating	покрытие
code	код
code list	перечень кодов
coil	катушка, обмотка
coldr	холодный
collar	шайба; кольцо; обойма; пояс; манжета
collared bearing	подшипник с упорным кольцом
collate	подбирать (листы в комплект)
collated copies	подобранные (в комплекты) копии
collating tray	лоток подборки копий по комплектам
collation	подборка (копий)
coloured background	цветной фон
coloured paper	цветная бумага
column	колонка
come in	включаться
come off	сходить (напр., трос со шкива)
command	команда
common (СОМ)	общий контакт, точка
common terminal	общая клемма, общий концевик
communication	связь
communication line	линия связи
comparator	сравнивающее устройство, компаратор
compatibility	совместимость, взаимное соответствие; взаимозаменяемость
compensate for smth.	вводить поправку на что-л.; возмещать, компенсировать что-л.
compiler tray	накопительный лоток
component	элемент, деталь, компонент
component change interval	периодичность замены деталей
compression spring	нажимная пружина, компрессионная пружина
compressor	компрессор
compressor intake	вход компрессора
concentric	концентрический
condition	условие, состояние
conductive	электропроводящий
conductive coating	электропроводное покрытие
conductive contamination	электропроводный загрязнитель
conductive grease	электропроводящая смазка
configuration	конфигурация, компоновка машины
confirm	подтверждать
connect	соединять; включать, подключать
connection	соединение; включение, подключение; связь
connector	соединитель, разъем
consecutive order	последовательный порядок
console	консоль, пульт
consumable	расходуемые материалы
consumption	потребление, расход
contact	контакт
contact brush	контактная щетка
contact plate	контактная пластина
contactor	контактор
container	контейнер, бак, резервуар
contaminant	загрязнитель
contamination	загрязнение
content	содержание
continuity	целостность, неразрывность
continuity check	проверка целостности проводки, "прозванивание"
contrast	контрастность, контраст
control	управление
control arm	рычаг управления
control cable	трос управления
control circuits	цепи (контуры) управления
control logic	логика управления
control panel	панель управления
control PWB	печатная плата управления
control voltage	управляющее напряжение
controller	регулятор, контроллер
conversion	преобразование
converter	преобразователь
cool down	охлаждать(ся)
cooling	охлаждение
copier	копировальная машина, копировальный аппарат
copier configuration	конфигурация, компоновка машины
copy	копия
copy aberration	отклонение качества копии (от стандартного)
copy buckle	коробление копии, шлейф копии
copy collation	подборка копий
copy contamination	загрязнение копии
copy contrast	контраст(ность) копии
copy counter	счетчик копий
copy cycle	цикл копирования, цикл изготовления копии
copy damage	повреждение копии
copy mode	режим копирования
copy quality (CQ)	качество копии
copy skew	перекос копии
copying	копирование
cord	провод, трос, кабель
cork pad	пробковая прокладка
corona glow	коронное свечение
coronode	коронод
corotron	коротрон
corotron wire	проволока коротрона
correct position	правильное положение
corrective action	меры по устранению (неисправностей)
corroded pins	подвергшиеся коррозии контакты
corrosion	коррозия
corrupt	портить(ся); искажать ; испорченный, нечистый; искаженный
cotton swab	тампон (хлопковой) ваты
count	счет, подсчет, отсчет; количество, число; одиночный импульс; считать, подсчитывать
counter-balance	противовес; уравновешивать
counterclockwise direction	вращение (поворот) против часовой стрелки
coupler	устройство связи
coupler PWB	плата связи
coupling	муфта; сцепление
cover	крышка, обложка; закрывать, накрывать
cover paper	бумага для обложек
cover plate	пластина крышки
coverage	охват; воспроизведение
crack	трещина, разрыв; трескаться, разрываться
cranck	проворачивание; проворачивать
crank	заводная (пусковая) рукоятка; кривошип; коленчатый рычаг
crank arm	рычаг рукоятки
crash	аварийный отказ, авария
crease	складка, линия сгиба, фальц; сгибать, фальцевать
crease on copy	складка на копии
cropped area	вырезанный участок
crossmixer	мешалка
crystal controlled clock	кварцевый генератор тактовых импульсов
crystallization	кристаллизация
cup	колпачок, крышка, капсюль
curl(ing)	закручивание, скручивание, свертывание (бумаги); коробление
current	ток
current converter	преобразователь тока
current limiting circuit	схема ограничения тока
curved cover	изогнутая крышка
cushion	смягчающая подкладка, подушка
cushion washer	смягчающая шайба
custom	изготовленный, сделанный по заказу
customer	заказчик
cut	резка, разрез; резать, отрезать
cut off, cut out	отключать, выключать, отсекать
cutout	рубильник, прерыватель, плавкий предохранитель; выключатель; выключенное состояние; вырез
cutter	резак
cyan	голубой
cycle	цикл
cycling	циклическое изменение, чередование



[ D ]

damage	повреждение, поломка; ломать, повреждать
damaged part	поврежденная деталь
damp	сырой, влажный; демпфировать, амортизировать
damper	демпфер, амортизатор
dampness	сырость
dark background	темный фон
dark bands	темные полосы (дефект качества копии)
dark blots	темные "кляксы" (дефект качества копии)
dark copy	темная копия
dark document	темный оригинал
dark dusting	темное напыление
dark streaks	темные линии (дефект качества копии)
Darker mode	режим "Темнее"
dash	пунктирная линия, пунктир
dashpot	демпфер
dashpot wiper	движок (шток) демпфера
data	данные, информация
data bus	информационная шина, шина данных
data compression	кодирование (fax)
data line	информационная линия, линия передачи данных
datum hole	базовое отверстие (для выравнивания)
datum pin	базовый штифт (для выравнивания); начальный вывод
DC bias	напряжение смещения постоянного тока
DC harness	жгут проводов постоянного тока
DC line	электропровод постоянного тока
DC power	питание постоянного тока (DC)
de-actuate	выключать(ся); деактивизироваться
de-actuation	выключение; деактивизация
dead cycle mode	режим холостого цикла (без изготовления копий)
dead cycle routine	процедура холостого цикла
decimal point	десятичная точка (запятая)
deck	плата; лентопротяжный механизм; загрузочная платформа
decoder	декодер, дешифратор
decoding circuit	декодирующая схема
decrease	уменьшение; уменьшать, снижаться
decrease button	кнопка выбора уменьшения
decurler	устройство распрямления бумаги
dedication	выделение, назначение; арендование (канала связи)
deenergise	выключать(ся)
defect	дефект, неисправность
defect sample	образец копии с дефектом
defective	дефективный, неисправный
deflection	отклонение, прогиб
deflector	дефлектор
deflector brush	щетка дефлектора
delay	задержка, запаздывание
delay send	задержанная передача
delete	вычеркивать; удалять; стирать
deletion	пропуск (изображения), пробел
deletion on copy	пропуски на копии
deliver	доставлять, подавать
delivery	доставка, подача
density	плотность (изображения)
density block	квадрат плотности (на контрольном листе)
density control	управление плотностью изображения
density of non-image areas	плотность участков без изображения (фона)
density sample sensor	считывающий датчик плотности
dependency	зависимость
dependent adjustment	зависимая регулировка
depict	изображать, рисовать; описывать
depletion	истощение, обеднение
depress	опускать, снижать, понижать; нажимать
depressing	опускание, понижение уровня
depth	глубина
description	описание
detack	отделение
detack paper guide	направляющая отделения бумаги
detack shield bias	напряжение смещения экрана отделения
detect	обнаруживать, выявлять
detection	обнаружение, выявление
detector	детектор, чувствительный элемент
detent	собачка, защелка; палец, упор, стопор
deterioration	ухудшение, порча
detone	снизить "тонирование"
developer	проявитель, носитель
developer assembly	проявочный блок
developer bead	шарик носителя
developer bead carry-over	перенос шариков носителя
developer bias	смещение проявителя, напряжение смещения проявителя
developer brush	кисть проявителя
developer housing	узел носителя, узел проявления
developer housing dirt shield	экран против загрязнения бункера
developing the image	проявление изображения
development	проявление
development system	система проявления
deviation	отклонение
device	устройство, узел
diagnose	выявлять, обнаруживать (ошибки или неисправности); осуществлять диагностический контроль
direct current (DC)	постоянный ток
dowel	шпонка
dowel pin	соединительный штифт
down	вниз, нижнее положение
down limit switch	нижний предельный выключатель
down position	нижнее положение
downward movement	движение вниз
drag	волочение, торможение, сопротивление
drip pan	поддон стекания (фьюзерного масла)
drive	привод; приводить в действие, в движение
drive belt	ремень привода
drive in	ввести
drive out	вывести
drive relay	реле привода
driver	задающее устройство, драйвер
driver PWB	ведущая печатная плата, драйверная печатная плата
drop	падение, снижение; капля
dropout	выпадение из синхронизма; выпадение сигнала; перерыв связи; (полигр.) удаление нежелательного изображения или фона
drower	выдвижная секция
drowing	чертеж
drum cavity	полость барабана
dry ink	тонер
dry ink yield	расход тонера
dual access	совмещение операций (fax)
duct	труба
dump	ссыпать, опустошать
dump door	дверцы для ссыпания
duplex backatop	ограничитель обратного хода листа в дуплексном лотке
duplex copy	дуплексная (двусторонняя) копия
duplicator	множительная машина; копировальный аппарат
duration	продолжительность
dust	пыль; удалять пыль
dust cover	противопылевая крышка
dusting	напыление
dusting poutch	мешочек для напыления тальком

[ E ]

earth	земля (эл.)
earth leakage	утечка на землю
earth leakage breaker	прерыватель утечки заземления
earth spring	пружина заземления
earth wire	провод заземления
earthing	заземление, замыкание на землю
edge	кромка, край
edge connector	краевой соединитель, краевой разъем (для плат)
edge erase	подавление (стирание) изображения по краю
edge of the copy	край (кромка) копии
edit	редактирование
effect	действие, эффект, результат
effectiveness	эффективность
eguivalent voltage value	эквивалентное значение напряжения
eject	вывод, выводить
ejecting	вывод; выбрасывание, выталкивание
electroluminiscent lamp	электролюминисцентная лампа
electrical component	электрический элемент
electrical requirements	требования по электропитанию
electrometer	электрометр
electronic	электронный
electronic screwdriver	электронная отвертка
elevator	подъемный механизм, элеватор
eliminate	удалять, исключать, устранять; засвечивать
eliminator	элиминатор
embossed	тисненый, вдавленный
embossed paper	бумага с вдавливанием (дефект качества копии)
embossing	тиснение, вдавливание
EMI filter	фильтр электромагнитных помех
emission	выделение, эмиссия, излучение
emitter	эмиттер
empty	пустой; выгружать, опорожнять
enable	разблокировать, отпирать, обеспечивать
encoder	кодирующее устройство, кодировщик
encryptor	энкриптор, кодировщик (fax)
end	конец, торец
end block	концевой блок
end cover	торцевая (концевая) крышка
endplay	осевой зазор, люфт
energize	включать(ся); возбуждать(ся); (эл.) (по)ставить под напряжение
engage	входить в зацепление; вводить в зацепление
engagement	зацепление
engineering copier	инженерная машина, машина для копирования конструкторской документации
enhancement	усиление; расширение технических или функциональных возможностей; совершенствование
enmesh	иметь зацепление
enter	вводить, входить (напр. в режим диагностики)
entry guide	входная направляющая, направляющая ввода
environment	условия функционирования
environment requirements	требования к окружающей среде
environmental conditions	параметры окружающей среды, состояние окружающей среды
erase	подавление, стирание; подавлять, стирать
erase corotron	коротрон подавления (стирания)
erase current	ток подавления, ток стирания
erratic	неустойчивый, эрратический; неупорядоченный
error	ошибка
error log	журнал регистрации ошибок (в памяти)
even charge	равномерный заряд
even number	четное число
event counter	счетчик событий
exceed	превышать
excessive current	избыточный ток
exert	прикладывать (усилие, давление)
exhaust	выпуск, выхлоп
expectancy	ожидаемый срок службы
exploded	в разобранном виде
exposed	экспонированный, подверженный действию
exposure	экспонирование, экспозиция
exposure intensity	интенсивность экспонирования
exposure lamp	лампа экспонирования
extender	удлинитель
extension	выступ, надставка
extension duct	удлинительная труба
extension spring	удлинительная пружина
external connector	внешний разъем
extinguish	гаснуть (о лампе)
extract	извлекать
extracting tool	извлекающий инструмент
extreme	крайний, предельный
eyelet	ушко, очко, петелька

[ F ]

face	лицевая сторона
face cam	плоский кулачок
face down	изображением вниз, "лицом вниз"
face up	изображением вверх, "лицом вверх"
facilitate	облегчать, помогать, способствовать
factory adjustment	заводская настройка, заводская регулировка
fail	выходить из строя, отказывать
failed	отказавший, неисправный
failure	повреждение, неисправность, отказ
failure cause	причина отказа
failure symptom	симптом отказа, симптом неисправности
fan	вентилятор; распушить (стопку бумаги)
fan blade	лопасть вентилятора
fasten	прикреплять, закреплять
fastener	зажим, крепежная деталь
fault	неисправность, дефект, отказ, ошибка
fault analysis	анализ неисправности
fault symptom	симптом неисправности
faulty	дефектный, неисправный
feature	особенность, режим
feed	подача; подавать
feedback	обратная связь
feeder	устройство подачи
feeder chute	лоток, желоб устройства подачи
feedout	вывод
feeler	щуп
felt	войлок, фетр
felt side	ворсистая сторона (бумаги)
female connector	гнездо (розетка) разъема, "мама"
fiber (fibre)	волокно, нить
filament	нить, волосок
file	файл, история, запись
film	пленка
film seal	пленочное уплотнение
filter	фильтр
fine line	тонкая линия
fine resolution	высокое разрешение (fax)
finger	палец
finger tight	закрученный от руки
finger tip	кончик пальца
finisher	финишер
finishing	отделка, чистовая обработка, доводка
fit	устанавливать, прилаживать, подгонять
fit snugly	плотно посадить, пригнать
flag	флаг, флажок
flange	фланец, кромка
flash	вспышка; вспыхивать, мигать
flashing	мигание; мигающий
flashlight	карманный фонарик
flat	плоский; грань, фаска, лыска
flat washer	плоская шайба
flowchart	блок-схема
fluctuation	колебание
fluorescent lamp	флуоресцентная лампа
foam	пористый материал, пена
focus	фокус; фокусировать
focusing	фокусировка, фокусирование
fold	сгиб, фальц, складка, фальцовка; сгибать, фальцевать
fold area	область фальцовки
fold line	линия сгиба
fold over	загибать(ся)
folder	фальцевальный аппарат, фальцаппарат; фальцевальный нож
folding	фальцовка
follower	толкатель (кулачкового механизма)
foot	ножка; фут (30,48 см)
force	сила, усилие; вводить с усилием
foreign object	посторонний предмет
fork	(эл.) соединитель с вилочными контактами; вилка; вилкообразная деталь; разветвление; разветвляться
form	форма, вид; бланк; образовывать(ся)
format	формат, размер
former	формователь (скрепки)
forming	формование (скрепки)
fragile	непрочный, ломкий, хрупкий
frame	рама, станина, корпус; кадр
frame lug	выступ (прилив) рамы
fray	протирать(ся), изнашивать(ся)
frayed insulation	изношенная изоляция
frequency	частота; периодичность
frequency/voltage/phase	частота/напряжение/фаза
friction	трение, сила трения
friction retard feeder	устройство подачи на принципе фрикционного торможения
friction surface	фрикционная поверхность
front	фасад, лицевая сторона; передняя сторона; передний
front-to-rear movement	движение спереди назад
full power	полная мощность
full size	полный размер, размер 1:1
full wave rectifier	двухполупериодный выпрямитель
function	функция
fuse	предохранитель; закреплять
fuse plate	плата предохранителей
fused	имеющий предохранитель, защищенный предохранителем
fused and stripped copy	закрепленная и отделенная копия
fuser	фьюзер, устройство закрепления
fuser wrinkle	образование морщин (на копии) при прохождении через фьюзер
fusing	закрепление
fusing check	проверка закрепления
fusing heat control	управление температурой закрепления
fusing quality	качество закрепления

[ G ]

gain	усиление, коэффициент усиления; получать (доступ)
gap	зазор, промежуток, просвет, щель
gas spring	пневмоамортизатор
gasket	сальник, прокладка, уплотнение
gate	затвор, вентиль, клапан; логическая ячейка
gauge	калибр, шаблон
gear	шестерня, зубчатое колесо; зубчатая передача
gearbox	коробка передач, редуктор
gear rack	зубчатая рейка шестерни
gearwheel	зубчатое колесо
general defects	основные дефекты; дефекты общего характера
general electromechanical faults	основные электромеханические неисправности (отказы)
general information	основная информация, информация общего характера
general procedures	основные процедуры
generation	образование, генерирование, генерация
generator	генератор
glass	стекло; окошко
glazed	залоснившийся (ремень)
glossy	блестящий, глянцевый
glow	накал, свечение; накаливаться, светиться
glue	клей
go to	перейдите к
grade of paper	качество (сорт) бумаги
grain	волокно (бумажное); текстура
grasp	схватывать, зажимать
grease	пластичная смазка; смазывать
green (GRN)	зеленый
grey scale	серая шкала (fax)
grid	решетка, сетка
grid area	область координатной решетки
grid line	линия координатной решетки
grind	тереться
grip	захват, зажим, сцепление
grip ring	зажимное колесо, клипса
gripper pad	подушка зажима, площадка зажима
grommet	прокладка, уплотнение
groove	канавка, паз, желобок, прорезь
ground	земля, заземление; заземлять
ground brushes	щетки заземления
group	группа
guard	ограждение; защищать, ограждать
guide	направляющая
guide plate	направляющая пластина

[ H ]

half rate	половинный ход
half tone	полутона
handbook	справочное руководство, справочник
handcranck	проворачивать вручную
hand cut	резка вручную
handle	ручка, рукоятка, рычаг; манипулировать; подавать; обращаться (с чем-л.)
handler	устройство подачи; манипулятор
hand tighten	затянуть от руки, наживить
hanger screw	подвесной винт
hardware	аппаратное обеспечение (машины), оборудование; крепежные детали
harness	электрический жгут, электрическая проводка, электрический монтаж
hazard	опасность, вред
hazardous	опасный, вредный
haze	помутнение
head	головка, головная часть
heat	тепло, нагрев
heat rod	лампа (стержень) нагрева
heat roll	нагревательный вал фьюзера
heat sensitivity	теплочувствительность
heater	нагреватель, подогреватель
heater blanket	покрытие нагревателя

[ I ]

imperfect	неидеальный, имеющий дефекты (о качестве копии)
inboard	внутренний
inch	медленно подвигать, поворачивать; дюйм (25,4 мм)
incorporate	ввести, включить (об изменении, модификации)
incorrect position	неправильное положение
increase	увеличение, возрастание; увеличивать, повышать
increase button	кнопка выбора увеличения
increased image size	увеличенный размер изображения
increased toner usage	увеличенный расход тонера
increment	приращение, инкремент
indentation	отпечаток, клеймо
index	указатель
index solenoid	соленоид индексирования
indexing	индексирование, индексация
indication	индикация, показание
indicator	индикатор, указатель
inductance	индуктивность, катушка индуктивности
inductor	индуктор, катушка индуктивности
information	информация
inhibit	запрет, блокирование; блокировать
initialization	приведение в начальное состояние, инициализация
initialize	инициализировать, приводить в начальное состояние
initiate	начинать, инициировать
initiation	начало, инициирование
injury	повреждение; вред, ущерб
inner	внутренний
in position	на своем месте
input	вход, ввод; входной; входной сигнал
input chute	входной лоток (желоб)
input components	входные элементы, элементы входа (выключатели, датчики)
input tray	входной лоток, лоток ввода
insert	вставлять, вводить; вносить (исправления)
inspect	осматривать, проверять, контролировать
inspection	осмотр, проверка
install	устанавливать, настраивать, налаживать
installation	установка
instruction	инструкция, указание
insulating block	изолятор
insulation	изоляция
insulator	изолятор
intake	вход, впуск, подвод
integrated circuit (IC)	интегральная схема
integrity of the image	целостность (неразрывность) изображения
intensity of exposure light	интенсивность света экспонирования
intentionally	умышленно, (пред)намеренно
interchange	взаимообмен; обмен местами, перестановка; обменивать(ся), менять(ся); менять местами, переставлять
interchangeable	взаимозаместимый, взаимозаменяемый, перестановочный; сменный
interchangeability	взаимозаменяемость
interdependency	взаимозависимость (регулировок)
interdependent adjustments	взаимозависимые регулировки
interface	поверхность раздела, поверхность стыковки (модулей); интерфейс
interface	соединительный
interfere	задевать, мешать
interference	помеха
interior	внутренний
interlock	блокировка, блокировочный выключатель
interlock cheater	имитатор блокировки
interlock relay	блокировочное реле
intermediate	промежуточный
intermittent	прерывистый, неустойчивый, повторяющийся периодически
intermittent condition	неустойчивое состояние
internal	внутренний
interrogate	запрашивать (сигнал)
interrogation	запрос (сигналов)
interrupt	прерывание; прерывать
interrupt button	кнопка прерывания (работы)
interval	интервал, промежуток
in the field	в эксплуатации
invalid	неправильный, недействительный
invert	переворачивать, инвертировать
invert mode	режим инвертирования
inverted copy	инвертированная, перевернутая копия
inverter	инвертор, переворачивающее устройство
ionized oxygen	ионизированный кислород
irregularity	неравномерность, нарушение
irrepairable	не поддающийся ремонту, не подлежащий ремонту
isolate	изолировать, выделять (о неисправности)
isolation	выделение, локализация
issue	выпуск (руководства, бюллетеня)
item	позиция, деталь
item number	номер позиции (на рисунке)

[ J ]

jack	гнездо (разъема)
jam	застревание
job	работа, задача
jogger	толкатель
jumper	перемычка, соединительный провод
jumper connector	разъем-перемычка
